"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"SNMPTRAP-In-UDP";"Service d’interruption SNMP (UDP entrant)";"Règle de trafic entrant pour que le service d’interruption SNMP autorise les interruptions SNMP. [UDP 162]";"@firewallapi.dll,-50323";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"162";"Any";"Any";"Any";"%SystemRoot%\system32\snmptrap.exe";;"SNMPTRAP";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"SNMPTRAP-In-UDP-NoScope";"Service d’interruption SNMP (UDP entrant)";"Règle de trafic entrant pour que le service d’interruption SNMP autorise les interruptions SNMP. [UDP 162]";"@firewallapi.dll,-50323";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"162";"Any";"Any";"Any";"%SystemRoot%\system32\snmptrap.exe";;"SNMPTRAP";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WiFiDirect-KM-Driver-In-TCP";"Pilote WFD uniquement (TCP-Entrée)";"Règle de trafic entrant pour les pilotes pour communiquer via WFD (TCP-Entrée)";"@wlansvc.dll,-36865";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";;"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WiFiDirect-KM-Driver-Out-TCP";"Pilote WFD uniquement (TCP-Sortie)";"Règle de trafic entrant pour les pilotes pour communiquer via WFD (TCP-Sortie)";"@wlansvc.dll,-36865";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";;"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WiFiDirect-KM-Driver-In-UDP";"Pilote WFD uniquement (UDP-Entrée)";"Règle de trafic entrant pour les pilotes pour communiquer via WFD (UDP-Entrée)";"@wlansvc.dll,-36865";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";;"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WiFiDirect-KM-Driver-Out-UDP";"Pilote WFD uniquement (UDP-Sortie)";"Règle de trafic entrant pour les pilotes pour communiquer via WFD (UDP-Sortie)";"@wlansvc.dll,-36865";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";;"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"DeliveryOptimization-TCP-In";"Optimisation de livraison (TCP entrant)";"Règle de trafic entrant pour permettre au service Optimisation de livraison de se connecter aux points de terminaison distants";"@%systemroot%\system32\dosvc.dll,-100";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"TCP";"7680";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dosvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"DeliveryOptimization-UDP-In";"Optimisation de livraison (UDP entrant)";"Règle de trafic entrant pour permettre au service Optimisation de livraison de se connecter aux points de terminaison distants";"@%systemroot%\system32\dosvc.dll,-100";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"UDP";"7680";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dosvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PNRPMNRS-PNRP-In-UDP";"Service d’inscription de nom d’ordinateur Espace de collaboration Windows (PNRP-In)";"Règle de trafic entrant pour que le service d’inscription de nom d’ordinateur Espace de collaboration Windows autorise le protocole PNRP (Peer Name Resolution Protocol). [UDP 3540]";"@FirewallAPI.dll,-34002";"False";"Any";"";"Inbound";"Allow";"DeferToApp";"False";"False";;"Any";"Any";"UDP";"3540";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"PNRPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PNRPMNRS-PNRP-Out-UDP";"Service d’inscription de nom d’ordinateur Espace de collaboration Windows (PNRP-Out)";"Règle de trafic sortant pour que le service d’inscription de nom d’ordinateur Espace de collaboration Windows autorise le protocole PNRP (Peer Name Resolution Protocol). [UDP 3540]";"@FirewallAPI.dll,-34002";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"3540";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"PNRPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
